OMOP	SPOKE
45536831	C0032343
45599498	C0032343
45541749	C0032343
45541556	C0032343
45570627	C0032343
45541754	C0032343
19133	C0032343
45565646	C0032343
45565777	C0032343
18713	C0032343
18441	C0032343
45585142	C0032343
45575314	C0032343
45560880	C0032343
17919	C0032343
18737	C0032343
45589780	C0032343
45594800	C0032343
45565565	C0032343
17879	C0032343
45541753	C0032343
18649	C0032343
45609029	C0032343
18183	C0032343
45575433	C0032343
45546520	C0032343
45541752	C0032343
18921	C0032343
45541573	C0032343
45555964	C0032343
45599490	C0032343
45580118	C0032343
45580340	C0032343
17725	C0032343
45580289	C0032343
17755	C0032343
17991	C0032343
45560864	C0032343
45570504	C0032343
45609092	C0032343
45604334	C0032343
45589948	C0032343
45556195	C0032343
45594756	C0032343
18495	C0032343
45580316	C0032343
45589751	C0032343
45589880	C0032343
45580271	C0032343
45580255	C0032343
45546562	C0032343
18429	C0032343
45599473	C0032343
18817	C0032343
45589822	C0032343
45565729	C0032343
45546349	C0032343
45570632	C0032343
45546411	C0032343
45604428	C0032343
45599574	C0032343
45541609	C0032343
45604278	C0032343
45546574	C0032343
45541548	C0032343
45599648	C0032343
45560956	C0032343
45599612	C0032343
45580084	C0032343
18549	C0032343
45580077	C0032343
45546619	C0032343
45565528	C0032343
18213	C0032343
45556142	C0032343
45604315	C0032343
18981	C0032343
45599633	C0032343
45604257	C0032343
45536915	C0032343
45599652	C0032343
44828456	C0032343
17867	C0032343
45541642	C0032343
45565704	C0032343
45546557	C0032343
45599535	C0032343
45589990	C0032343
45536735	C0032343
45570624	C0032343
44820358	C0032343
45541618	C0032343
45604460	C0032343
45541769	C0032343
45589720	C0032343
45599476	C0032343
45556129	C0032343
45604414	C0032343
45585079	C0032343
45584904	C0032343
45560969	C0032343
45570605	C0032343
45565711	C0032343
45599668	C0032343
45580280	C0032343
45536932	C0032343
17839	C0032343
45580086	C0032343
45599639	C0032343
45589785	C0032343
44831881	C0032343
45551313	C0032343
45546612	C0032343
45551346	C0032343
45575254	C0032343
45585146	C0032343
45560747	C0032343
45541750	C0032343
18965	C0032343
17773	C0032343
45580239	C0032343
45541628	C0032343
18363	C0032343
45570406	C0032343
18531	C0032343
45560752	C0032343
45541525	C0032343
45551357	C0032343
45609036	C0032343
45546541	C0032343
45551340	C0032343
45594713	C0032343
45599582	C0032343
45570611	C0032343
45551156	C0032343
45580200	C0032343
45575430	C0032343
45584965	C0032343
45541755	C0032343
45551303	C0032343
45556019	C0032343
45541694	C0032343
45551208	C0032343
45541770	C0032343
45604356	C0032343
45541636	C0032343
45599623	C0032343
44835389	C0032343
18309	C0032343
45541733	C0032343
45546587	C0032343
45594680	C0032343
45589715	C0032343
45589823	C0032343
45580087	C0032343
45570417	C0032343
45585027	C0032343
45560917	C0032343
18853	C0032343
45570566	C0032343
45599497	C0032343
45555993	C0032343
45560816	C0032343
45575461	C0032343
45570497	C0032343
45541634	C0032343
45609195	C0032343
17889	C0032343
45585130	C0032343
45594643	C0032343
45560897	C0032343
45555997	C0032343
45570540	C0032343
45594781	C0032343
45541761	C0032343
19021	C0032343
17937	C0032343
45585035	C0032343
45589770	C0032343
45585161	C0032343
45565772	C0032343
45594726	C0032343
45570602	C0032343
19089	C0032343
18985	C0032343
45536683	C0032343
45609247	C0032343
18621	C0032343
45585057	C0032343
45536959	C0032343
45604464	C0032343
45609231	C0032343
45546354	C0032343
45589995	C0032343
45536743	C0032343
18129	C0032343
45546578	C0032343
45556069	C0032343
45585032	C0032343
45560682	C0032343
45551229	C0032343
45570441	C0032343
45609204	C0032343
18689	C0032343
45565656	C0032343
17665	C0032343
45560806	C0032343
45589954	C0032343
45565584	C0032343
45536807	C0032343
45546490	C0032343
45546537	C0032343
44829564	C0032343
45565495	C0032343
45604324	C0032343
45536717	C0032343
45541740	C0032343
45560845	C0032343
45580178	C0032343
1553934	C0032343
45556071	C0032343
18973	C0032343
45556177	C0032343
45589884	C0032343
45560759	C0032343
45604240	C0032343
19077	C0032343
45575485	C0032343
45575442	C0032343
45609038	C0032343
45536782	C0032343
45585034	C0032343
45546473	C0032343
45570651	C0032343
45609089	C0032343
45551400	C0032343
45580189	C0032343
45560695	C0032343
45599583	C0032343
45541532	C0032343
45599642	C0032343
45580300	C0032343
45599615	C0032343
45589846	C0032343
45560810	C0032343
45570564	C0032343
45580232	C0032343
45551387	C0032343
45541756	C0032343
45556178	C0032343
45589789	C0032343
45546419	C0032343
45560712	C0032343
45555909	C0032343
45551408	C0032343
45551269	C0032343
45604379	C0032343
45565490	C0032343
45599595	C0032343
45546321	C0032343
45599658	C0032343
45551246	C0032343
45555921	C0032343
44822627	C0032343
45555943	C0032343
45546544	C0032343
45541757	C0032343
45594642	C0032343
45570437	C0032343
45575379	C0032343
45541768	C0032343
45546592	C0032343
45565713	C0032343
45551350	C0032343
45546600	C0032343
45594705	C0032343
45556049	C0032343
45565515	C0032343
45551414	C0032343
45546614	C0032343
45599492	C0032343
45560883	C0032343
45551130	C0032343
45599402	C0032343
45546477	C0032343
45556004	C0032343
45570364	C0032343
45546434	C0032343
45608983	C0032343
45546334	C0032343
45546604	C0032343
45594836	C0032343
45575421	C0032343
45575417	C0032343
45609185	C0032343
45589853	C0032343
45594715	C0032343
45594734	C0032343
45551266	C0032343
45541489	C0032343
45541678	C0032343
45594824	C0032343
45570473	C0032343
45556188	C0032343
45585117	C0032343
45551339	C0032343
45609202	C0032343
45551421	C0032343
45556043	C0032343
45580244	C0032343
45574302	C0409497
1573595	C0409497
1573597	C0409497
14695	C0409497
14696	C0409497
45574301	C0409497
14698	C0409497
1573596	C0409497
14697	C0409497
14700	C0409497
45579080	C0409497
45569397	C0409497
14699	C0409497
45588758	C0409497
45574300	C0409497
45603298	C0409497
45593633	C0409497
45540557	C0409497
45588757	C0409497
45564558	C0409497
45593632	C0409497
45568988	C3263723
45598343	C3263723
45580043	C3263723
45554873	C3263723
45535714	C3263723
45599250	C3263723
45554874	C3263723
45574228	C3263723
45568731	C3263723
45559349	C3263723
45602859	C3263723
45604088	C3263723
45607436	C3263723
45559584	C3263723
45588690	C3263723
45583862	C3263723
45594556	C3263723
45568612	C3263723
45550146	C3263723
45560510	C3263723
45608834	C3263723
45578397	C3263723
45583313	C3263723
45607971	C3263723
45602605	C3263723
45550121	C3263723
45564460	C3263723
45603160	C3263723
45545279	C3263723
45563912	C3263723
45603229	C3263723
45545336	C3263723
45604081	C3263723
45608012	C3263723
45568982	C3263723
45583802	C3263723
45603213	C3263723
45545267	C3263723
45545290	C3263723
45573902	C3263723
45569314	C3263723
45540447	C3263723
45549812	C3263723
45573662	C3263723
45536532	C3263723
45554877	C3263723
45535656	C3263723
45574210	C3263723
45563915	C3263723
45549579	C3263723
45559313	C3263723
45569343	C3263723
45608969	C3263723
45554934	C3263723
45593006	C3263723
45554371	C3263723
45546165	C3263723
45549817	C3263723
45588711	C3263723
45603190	C3263723
45541317	C3263723
45545263	C3263723
45608965	C3263723
45583834	C3263723
45604090	C3263723
45536534	C3263723
45568998	C3263723
45546164	C3263723
45574261	C3263723
45574230	C3263723
45593528	C3263723
45560519	C3263723
45554924	C3263723
45598401	C3263723
45607293	C3263723
45598392	C3263723
45569294	C3263723
45599240	C3263723
45588124	C3263723
45568992	C3263723
45555883	C3263723
45554603	C3263723
45539991	C3263723
45607670	C3263723
45608011	C3263723
45603232	C3263723
45583801	C3263723
45573655	C3263723
45598361	C3263723
45588661	C3263723
45554616	C3263723
45603212	C3263723
45554671	C3263723
45540466	C3263723
45583915	C3263723
45554853	C3263723
45573893	C3263723
45564412	C3263723
45588691	C3263723
45583595	C3263723
45541315	C3263723
45568722	C3263723
45539914	C3263723
45573980	C3263723
45560521	C3263723
45578964	C3263723
45564175	C3263723
45564404	C3263723
45588679	C3263723
45550085	C3263723
45579919	C3263723
45554596	C3263723
45564458	C3263723
45608968	C3263723
45584832	C3263723
45583558	C3263723
45578991	C3263723
45583539	C3263723
45559623	C3263723
45549601	C3263723
45535333	C3263723
45594435	C3263723
45539815	C3263723
45544997	C3263723
45535706	C3263723
45598105	C3263723
45549600	C3263723
45593533	C3263723
45589570	C3263723
45554946	C3263723
45554861	C3263723
45607955	C3263723
45540229	C3263723
45554881	C3263723
45584831	C3263723
45545316	C3263723
45569355	C3263723
45541323	C3263723
45604087	C3263723
45584830	C3263723
45574249	C3263723
45597815	C3263723
45573917	C3263723
45584720	C3263723
45608017	C3263723
45579013	C3263723
45583562	C3263723
45559587	C3263723
45569006	C3263723
45535651	C3263723
45549635	C3263723
45598416	C3263723
45559640	C3263723
45583816	C3263723
45594558	C3263723
45593567	C3263723
45608048	C3263723
45554624	C3263723
45573653	C3263723
45569041	C3263723
45549582	C3263723
45588648	C3263723
45559315	C3263723
45594568	C3263723
45540470	C3263723
45569028	C3263723
45598062	C3263723
45541321	C3263723
45578661	C3263723
45568752	C3263723
45573788	C3263723
45602600	C3263723
45598073	C3263723
45599372	C3263723
45593009	C3263723
45564231	C3263723
45588703	C3263723
45575093	C3263723
45583880	C3263723
45578660	C3263723
45559645	C3263723
45575095	C3263723
45545363	C3263723
45588660	C3263723
45588122	C3263723
45607988	C3263723
45535422	C3263723
45535653	C3263723
45563905	C3263723
45583854	C3263723
45536656	C3263723
45554404	C3263723
45564489	C3263723
45608019	C3263723
45603159	C3263723
45578276	C3263723
45564400	C3263723
45535705	C3263723
45546158	C3263723
45535420	C3263723
45583188	C3263723
45550130	C3263723
45559603	C3263723
45608029	C3263723
45569270	C3263723
45599238	C3263723
45544766	C3263723
45588118	C3263723
45578391	C3263723
45570224	C3263723
45564501	C3263723
45579911	C3263723
45607714	C3263723
45560505	C3263723
45549584	C3263723
45574183	C3263723
45593261	C3263723
45550143	C3263723
45593534	C3263723
45549820	C3263723
45583536	C3263723
45579055	C3263723
45554906	C3263723
45574186	C3263723
45549839	C3263723
45564230	C3263723
45604082	C3263723
45602880	C3263723
45559619	C3263723
45559639	C3263723
45584717	C3263723
45564452	C3263723
45549585	C3263723
45546168	C3263723
45550135	C3263723
45588650	C3263723
45546169	C3263723
45535655	C3263723
45593524	C3263723
45593576	C3263723
45583554	C3263723
45579018	C3263723
45563891	C3263723
45559600	C3263723
45550134	C3263723
45564405	C3263723
45608838	C3263723
45593007	C3263723
45598063	C3263723
45578967	C3263723
45598061	C3263723
45607674	C3263723
45545340	C3263723
45569298	C3263723
45603210	C3263723
45564222	C3263723
45545004	C3263723
45598093	C3263723
45603156	C3263723
45593601	C3263723
45568717	C3263723
45579910	C3263723
45549816	C3263723
45588664	C3263723
45564478	C3263723
45583466	C3263723
45546176	C3263723
45573637	C3263723
45593564	C3263723
45550073	C3263723
45568789	C3263723
45550145	C3263723
45559378	C3263723
45564173	C3263723
45573889	C3263723
45539942	C3263723
45608022	C3263723
45540480	C3263723
45573898	C3263723
45545010	C3263723
45574259	C3263723
45588701	C3263723
45560645	C3263723
45559684	C3263723
45594441	C3263723
45559664	C3263723
45540432	C3263723
45578390	C3263723
45540449	C3263723
45569259	C3263723
45578931	C3263723
45583810	C3263723
45598338	C3263723
45578997	C3263723
45554366	C3263723
45607695	C3263723
45607428	C3263723
45545278	C3263723
45578938	C3263723
45535043	C3263723
45539989	C3263723
45598364	C3263723
45539945	C3263723
45560507	C3263723
45593600	C3263723
45540177	C3263723
45607298	C3263723
45593580	C3263723
45574247	C3263723
45569260	C3263723
45602875	C3263723
45554870	C3263723
45554673	C3263723
45535639	C3263723
45607943	C3263723
45545001	C3263723
45579022	C3263723
45584713	C3263723
45597781	C3263723
45593301	C3263723
45588652	C3263723
45545351	C3263723
45554913	C3263723
45559325	C3263723
45539944	C3263723
45588708	C3263723
45560504	C3263723
45578970	C3263723
45583836	C3263723
45603233	C3263723
45588117	C3263723
45608015	C3263723
45588370	C3263723
45560646	C3263723
45545319	C3263723
45559614	C3263723
45540167	C3263723
45593581	C3263723
45598402	C3263723
45544764	C3263723
45583820	C3263723
45568972	C3263723
45568974	C3263723
45588726	C3263723
45555789	C3263723
45540467	C3263723
45568723	C3263723
45579053	C3263723
45540176	C3263723
45602938	C3263723
45578960	C3263723
45583570	C3263723
45608024	C3263723
45540458	C3263723
45584724	C3263723
45608013	C3263723
45599251	C3263723
45588400	C3263723
45583870	C3263723
45603224	C3263723
45555886	C3263723
45603209	C3263723
45540505	C3263723
45564421	C3263723
45579920	C3263723
45588126	C3263723
45575090	C3263723
45588383	C3263723
45545320	C3263723
45594438	C3263723
45573652	C3263723
45539809	C3263723
45534949	C3263723
45564427	C3263723
45574204	C3263723
45583885	C3263723
